Index,SceneTime(seconds),FramesPerSecond,TotalAllocatedMemory(kB),MeshMemory(kB),ElapsedTime(seconds//milliseconds)
0,7.932002,927.8159,136543,87,00:00.0
1,7.933186,844.6659,,,
2,7.934258,931.8796,,,
3,7.935361,906.8649,,,
4,7.936473,899.5233,,,
5,7.937538,938.879,,,
6,7.938789,799.4244,,,
7,7.939865,929.368,,,
8,7.940915,952.4717,,,
9,7.941966,951.4748,,,
10,7.944839,348.044,,,
11,7.946126,777.4841,,,
12,7.947204,927.0419,,,
13,7.951187,251.0544,,,
14,7.952938,571.3306,,,
15,7.953994,946.7903,,,
16,7.955059,938.879,,,
17,7.956105,955.4748,,,
18,7.957119,986.5825,,,
19,7.958166,955.2923,,,
20,7.959186,980.5845,,,
21,7.960227,960.7994,,,
22,7.961296,934.6668,,,
23,7.962339,959.2326,,,
24,7.963371,968.5231,,,
25,7.964402,969.838,,,
26,7.965423,979.9119,,,
27,7.966452,971.7228,,,
28,7.96751,945.0009,,,
29,7.968672,860.5852,,,
30,7.969765,914.913,,,
31,7.970811,955.9315,,,
32,7.971856,956.9377,,,
33,7.973299,693.2889,,,
34,7.97442,892.2994,,,
35,7.975451,968.7107,,,
36,7.976518,938.1743,,,
37,7.977557,961.7234,,,
38,7.97858,978.0908,,,
39,7.979645,939.0554,,,
40,7.980685,961.2612,,,
41,7.981765,926.1832,,,
42,7.982815,952.2903,,,
43,7.983859,958.0379,,,
44,7.984901,958.9566,,,
45,7.985945,958.2215,,,
46,7.986994,953.4707,,,
47,7.988024,970.3085,,,
48,7.989073,953.4707,,,
49,7.990117,958.1297,,,
50,7.99115,968.0543,,,
51,7.992176,974.4689,,,
52,7.993196,980.1039,,,
53,7.994282,920.9799,,,
54,7.995564,780.5792,,,
55,7.996609,956.7546,,,
56,7.997642,967.4923,,,
57,7.998713,933.2711,,,
58,7.999738,976.5625,,,
59,8.000781,958.1297,,,
60,8.001815,967.4923,,,
61,8.002874,944.0196,,,
62,8.004028,866.7764,,,
63,8.005172,873.9731,,,
64,8.006346,852.2243,,,
65,8.00742,931.2721,,,
66,8.008546,888.0206,,,
67,8.009575,971.6284,,,
68,8.010654,926.1832,,,
69,8.012018,733.2454,,,
70,8.0131,924.5562,,,
71,8.014124,976.4672,,,
72,8.015162,963.9484,,,
73,8.016207,956.4801,,,
74,8.017218,989.1197,,,
75,8.018284,937.9984,,,
76,8.019341,945.2689,,,
77,8.020358,984.0582,,,
78,8.021389,969.744,,,
79,8.022584,837.1003,,,
80,8.023625,960.338,,,
81,8.024633,991.4733,,,
82,8.025646,987.6543,,,
83,8.026666,981.0655,,,
84,8.027727,941.8856,,,
85,8.030777,327.8366,,,
86,8.031817,961.2612,,,
87,8.032838,980.2961,,,
88,8.033874,965.5306,,,
89,8.034921,954.5629,,,
90,8.035972,951.9277,,,
91,8.036998,974.0892,,,
92,8.038026,972.8572,,,
93,8.039041,985.7072,,,
94,8.040044,996.7109,,,
95,8.041107,940.1147,,,
96,8.042135,972.8572,,,
97,8.043155,981.1617,,,
98,8.044191,964.9716,,,
99,8.047602,293.2293,,,
