Index,SceneTime(seconds),FramesPerSecond,TotalAllocatedMemory(kB),MeshMemory(kB),ElapsedTime(seconds//milliseconds)
0,39.39429,454.0089,255442,17590,01:07.7
1,39.3966,433.6889,,,
2,39.3992,384.0393,,,
3,39.40141,454.5661,,,
4,39.40368,439.2515,,,
5,39.40589,453.5353,,,
6,39.40813,444.9388,,,
7,39.41029,462.7916,,,
8,39.4125,453.4325,,,
9,39.41551,332.491,,,
10,39.41771,454.1945,,,
11,39.41985,467.0933,,,
12,39.42211,442.6933,,,
13,39.42423,470.7654,,,
14,39.42645,452.1409,,,
15,39.4287,442.6346,,,
16,39.43096,443.9709,,,
17,39.43355,385.208,,,
18,39.43576,453.9677,,,
19,39.438,445.6328,,,
20,39.44017,460.872,,,
21,39.44244,440.8199,,,
22,39.44462,457.5612,,,
23,39.44683,453.4531,,,
24,39.44959,362.4239,,,
25,39.45179,454.7935,,,
26,39.45403,446.8875,,,
27,39.4562,459.0736,,,
28,39.45837,462.1072,,,
29,39.4606,447.9083,,,
30,39.46284,446.2293,,,
31,39.46563,358.6158,,,
32,39.46772,477.3953,,,
33,39.46991,457.1429,,,
34,39.47215,447.1272,,,
35,39.47432,460.5536,,,
36,39.47655,447.6476,,,
39,39.48382,549.9037,,,
40,39.48607,444.1878,,,
41,39.48834,440.8588,,,
42,39.4905,463.1559,,,
43,39.49276,441.4232,,,
44,39.49496,454.959,,,
45,39.49723,440.2571,,,
46,39.49996,366.6093,,,
47,39.50215,456.3293,,,
48,39.50434,455.6224,,,
49,39.50654,455.2905,,,
50,39.50875,452.1818,,,
51,39.51097,451.6508,,,
52,39.51323,441.7547,,,
53,39.51597,365.0301,,,
54,39.5181,469.2412,,,
55,39.52028,458.5473,,,
56,39.52258,435.7488,,,
57,39.52473,463.4565,,,
59,39.53167,454.3389,,,
62,39.53622,445.2756,,,
63,39.53839,462.5989,,,
64,39.54063,444.8201,,,
65,39.54284,453.9471,,,
66,39.54507,448.9539,,,
67,39.54733,441.2284,,,
68,39.54996,380.1703,,,
69,39.55214,458.5052,,,
70,39.55432,458.8629,,,
71,39.55655,448.7122,,,
72,39.55879,445.8513,,,
73,39.56095,464.5113,,,
74,39.56329,427.6428,,,
75,39.56605,361.5329,,,
76,39.56815,475.5112,,,
77,39.57035,455.7054,,,
78,39.57255,454.8556,,,
79,39.57476,451.9978,,,
80,39.577,445.3549,,,
81,39.57931,433.9713,,,
82,39.58202,368.8948,,,
83,39.58416,466.8316,,,
84,39.5863,468.2525,,,
85,39.58856,442.0671,,,
86,39.59079,447.4874,,,
87,39.59297,459.9816,,,
88,39.59529,431.4622,,,
89,39.59792,379.2907,,,
90,39.60027,426.1485,,,
91,39.60247,454.4835,,,
92,39.60473,442.3017,,,
93,39.60692,455.9964,,,
94,39.60906,468.0552,,,
95,39.61131,445.3946,,,
96,39.61356,442.517,,,
97,39.61632,363.5042,,,
98,39.61844,470.6325,,,
99,39.62062,458.2111,,,
